Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,0.00032
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-3.200e-01,0.2
-3.197e-01,-0.4
-3.194e-01,1.4
-3.190e-01,0.8
-3.187e-01,0.2
-3.184e-01,1.2
-3.181e-01,-4.4
-3.178e-01,-5.2
-3.174e-01,-0.8
-3.171e-01,-0.6
-3.168e-01,-1.2
-3.165e-01,-4.2
-3.162e-01,-6
-3.158e-01,-5.2
-3.155e-01,-6.2
-3.152e-01,-2.6
-3.149e-01,-3.8
-3.146e-01,-5.4
-3.142e-01,-3.8
-3.139e-01,-6.6
-3.136e-01,-6.2
-3.133e-01,-2.6
-3.130e-01,-3.6
-3.126e-01,-2.8
-3.123e-01,-3.6
-3.120e-01,-3.4
-3.117e-01,-2
-3.114e-01,-1.6
-3.110e-01,-1
-3.107e-01,-0.4
-3.104e-01,-1.6
-3.101e-01,-2.6
-3.098e-01,-2.8
-3.094e-01,-1.8
-3.091e-01,-1.2
-3.088e-01,-1.6
-3.085e-01,-2
-3.082e-01,-2
-3.078e-01,-2
-3.075e-01,-1.6
-3.072e-01,-1
-3.069e-01,2.2
-3.066e-01,-2.6
-3.062e-01,-2.4
-3.059e-01,-1.8
-3.056e-01,-2.4
-3.053e-01,-0.6
-3.050e-01,-2.2
-3.046e-01,-2.8
-3.043e-01,-3
-3.040e-01,-2
-3.037e-01,-1.6
-3.034e-01,-2.2
-3.030e-01,-1.4
-3.027e-01,-2
-3.024e-01,-2
-3.021e-01,0
-3.018e-01,-0.4
-3.014e-01,0
-3.011e-01,0.4
-3.008e-01,3.8
-3.005e-01,4.2
-3.002e-01,0.2
-2.998e-01,1.2
-2.995e-01,2.4
-2.992e-01,2
-2.989e-01,6
-2.986e-01,7.6
-2.982e-01,5
-2.979e-01,3.4
-2.976e-01,2
-2.973e-01,2.8
-2.970e-01,3
-2.966e-01,5.6
-2.963e-01,2.2
-2.960e-01,4.4
-2.957e-01,4
-2.954e-01,6.4
-2.950e-01,3.8
-2.947e-01,2
-2.944e-01,0.2
-2.941e-01,3.8
-2.938e-01,5.8
-2.934e-01,0.4
-2.931e-01,0.4
-2.928e-01,0.8
-2.925e-01,1
-2.922e-01,3.2
-2.918e-01,3.6
-2.915e-01,1.8
-2.912e-01,1.8
-2.909e-01,0.4
-2.906e-01,1.2
-2.902e-01,1.8
-2.899e-01,2.2
-2.896e-01,3
-2.893e-01,3.2
-2.890e-01,2
-2.886e-01,2.2
-2.883e-01,2.4
-2.880e-01,3.6
-2.877e-01,3.4
-2.874e-01,3.4
-2.870e-01,3.4
-2.867e-01,2.2
-2.864e-01,2
-2.861e-01,1.4
-2.858e-01,4.6
-2.854e-01,3.2
-2.851e-01,1.4
-2.848e-01,2.8
-2.845e-01,-0.2
-2.842e-01,-2.2
-2.838e-01,0.6
-2.835e-01,0.6
-2.832e-01,1.6
-2.829e-01,0.6
-2.826e-01,0.2
-2.822e-01,0
-2.819e-01,0.6
-2.816e-01,0.6
-2.813e-01,-5.2
-2.810e-01,-5.4
-2.806e-01,-5.6
-2.803e-01,-5.4
-2.800e-01,-1.8
-2.797e-01,-1
-2.794e-01,-3
-2.790e-01,-4
-2.787e-01,-4.6
-2.784e-01,-3.6
-2.781e-01,-4.6
-2.778e-01,-3.2
-2.774e-01,-5.4
-2.771e-01,-6.6
-2.768e-01,-6
-2.765e-01,-6.4
-2.762e-01,-5.6
-2.758e-01,-2.8
-2.755e-01,-4.8
-2.752e-01,-3.8
-2.749e-01,-2.2
-2.746e-01,-3.2
-2.742e-01,-2.2
-2.739e-01,-2.8
-2.736e-01,-2.2
-2.733e-01,-3.4
-2.730e-01,-2.6
-2.726e-01,-2.6
-2.723e-01,-3
-2.720e-01,-2.6
-2.717e-01,-3
-2.714e-01,-2.4
-2.710e-01,-2.2
-2.707e-01,-1.2
-2.704e-01,-1.6
-2.701e-01,-0.6
-2.698e-01,-3.2
-2.694e-01,-3.8
-2.691e-01,-3
-2.688e-01,-1.2
-2.685e-01,-3.2
-2.682e-01,-3.6
-2.678e-01,-4
-2.675e-01,-1.2
-2.672e-01,-1
-2.669e-01,-1.2
-2.666e-01,-0.8
-2.662e-01,-2
-2.659e-01,-1.4
-2.656e-01,-1
-2.653e-01,0.4
-2.650e-01,0.8
-2.646e-01,-0.2
-2.643e-01,2.4
-2.640e-01,4.2
-2.637e-01,1.8
-2.634e-01,2.2
-2.630e-01,2.8
-2.627e-01,2
-2.624e-01,4.2
-2.621e-01,8.2
-2.618e-01,3
-2.614e-01,1.4
-2.611e-01,2.2
-2.608e-01,1.2
-2.605e-01,6.4
-2.602e-01,6.6
-2.598e-01,6
-2.595e-01,4.2
-2.592e-01,5.2
-2.589e-01,1.8
-2.586e-01,5
-2.582e-01,7.6
-2.579e-01,3.6
-2.576e-01,4.4
-2.573e-01,4.4
-2.570e-01,2.8
-2.566e-01,0.4
-2.563e-01,2
-2.560e-01,3.4
-2.557e-01,3.2
-2.554e-01,2.2
-2.550e-01,1.4
-2.547e-01,0.6
-2.544e-01,0.8
-2.541e-01,1
-2.538e-01,3
-2.534e-01,2.4
-2.531e-01,1.8
-2.528e-01,0.8
-2.525e-01,1.4
-2.522e-01,2
-2.518e-01,1.4
-2.515e-01,3.6
-2.512e-01,3.2
-2.509e-01,1.8
-2.506e-01,1.2
-2.502e-01,0.8
-2.499e-01,7.8
-2.496e-01,3.2
-2.493e-01,-0.2
-2.490e-01,3
-2.486e-01,1
-2.483e-01,1.2
-2.480e-01,-0.6
-2.477e-01,1
-2.474e-01,-0.2
-2.470e-01,0
-2.467e-01,-0.2
-2.464e-01,0.2
-2.461e-01,0.2
-2.458e-01,-0.8
-2.454e-01,-6.2
-2.451e-01,-5.4
-2.448e-01,-3.6
-2.445e-01,-2.2
-2.442e-01,-1
-2.438e-01,-3.8
-2.435e-01,-6
-2.432e-01,-6
-2.429e-01,-3.2
-2.426e-01,-2.8
-2.422e-01,-0.2
-2.419e-01,1
-2.416e-01,-3.6
-2.413e-01,-5
-2.410e-01,-6.4
-2.406e-01,-1.2
-2.403e-01,-4.4
-2.400e-01,-4
-2.397e-01,-2
-2.394e-01,-1.8
-2.390e-01,-1.4
-2.387e-01,-1.8
-2.384e-01,-0.4
-2.381e-01,-1.8
-2.378e-01,-1.8
-2.374e-01,-2
-2.371e-01,-3.6
-2.368e-01,-2.6
-2.365e-01,-2.2
-2.362e-01,-1.6
-2.358e-01,-1.6
-2.355e-01,-1.6
-2.352e-01,-1.8
-2.349e-01,-1.8
-2.346e-01,-5.2
-2.342e-01,-1.6
-2.339e-01,-4.6
-2.336e-01,-2.8
-2.333e-01,-1.8
-2.330e-01,-0.6
-2.326e-01,-4
-2.323e-01,-3.2
-2.320e-01,-2.6
-2.317e-01,-2
-2.314e-01,-2
-2.310e-01,-2.4
-2.307e-01,-2.2
-2.304e-01,-1.8
-2.301e-01,-1.6
-2.298e-01,-1.6
-2.294e-01,-1
-2.291e-01,-1
-2.288e-01,1
-2.285e-01,1.6
-2.282e-01,1.8
-2.278e-01,1
-2.275e-01,1.6
-2.272e-01,1
-2.269e-01,5
-2.266e-01,5.4
-2.262e-01,5.2
-2.259e-01,8.4
-2.256e-01,3
-2.253e-01,3.6
-2.250e-01,3.8
-2.246e-01,4.4
-2.243e-01,5.2
-2.240e-01,6.2
-2.237e-01,5
-2.234e-01,6.6
-2.230e-01,2.4
-2.227e-01,5.8
-2.224e-01,8
-2.221e-01,6.4
-2.218e-01,5.4
-2.214e-01,4.2
-2.211e-01,2.2
-2.208e-01,1.8
-2.205e-01,3.4
-2.202e-01,2
-2.198e-01,3
-2.195e-01,3
-2.192e-01,3
-2.189e-01,3
-2.186e-01,2.2
-2.182e-01,2
-2.179e-01,2
-2.176e-01,2.4
-2.173e-01,3
-2.170e-01,1.2
-2.166e-01,2
-2.163e-01,1
-2.160e-01,1.4
-2.157e-01,6.2
-2.154e-01,7.2
-2.150e-01,1.4
-2.147e-01,-1.4
-2.144e-01,2.6
-2.141e-01,1.2
-2.138e-01,1.4
-2.134e-01,1.6
-2.131e-01,1.8
-2.128e-01,0
-2.125e-01,-1
-2.122e-01,-0.4
-2.118e-01,0
-2.115e-01,0
-2.112e-01,-4.8
-2.109e-01,-6.4
-2.106e-01,-6.6
-2.102e-01,-5.8
-2.099e-01,-3.6
-2.096e-01,-2.4
-2.093e-01,-5
-2.090e-01,-6.4
-2.086e-01,-4.6
-2.083e-01,-3.8
-2.080e-01,-4.2
-2.077e-01,-0.6
-2.074e-01,-4.8
-2.070e-01,-6.6
-2.067e-01,-5.4
-2.064e-01,-6.6
-2.061e-01,-6.6
-2.058e-01,-4.2
-2.054e-01,-5.6
-2.051e-01,-2.2
-2.048e-01,-4
-2.045e-01,-2.8
-2.042e-01,-3
-2.038e-01,-1.4
-2.035e-01,-1.4
-2.032e-01,-2.2
-2.029e-01,-2.4
-2.026e-01,-2
-2.022e-01,-0.2
-2.019e-01,0
-2.016e-01,-5.2
-2.013e-01,-5.8
-2.010e-01,-2.6
-2.006e-01,-1.6
-2.003e-01,-0.6
-2.000e-01,-2
-1.997e-01,-1.2
-1.994e-01,-2.2
-1.990e-01,-2
-1.987e-01,-1.6
-1.984e-01,0.2
-1.981e-01,-1.8
-1.978e-01,-1.8
-1.974e-01,-1.6
-1.971e-01,-1.6
-1.968e-01,-1.2
-1.965e-01,-0.6
-1.962e-01,-0.2
-1.958e-01,0.4
-1.955e-01,1.2
-1.952e-01,0.8
-1.949e-01,1.4
-1.946e-01,2
-1.942e-01,2.2
-1.939e-01,1.4
-1.936e-01,4.8
-1.933e-01,5.4
-1.930e-01,3.8
-1.926e-01,5.6
-1.923e-01,4.6
-1.920e-01,3.2
-1.917e-01,2.8
